Fri, 17 May 2019 22:42:27 utils.py[line:43] INFO class map loaded
Fri, 17 May 2019 22:42:27 utils.py[line:59] INFO bad nodes removed
Fri, 17 May 2019 22:42:28 utils.py[line:78] INFO Normalized
Fri, 17 May 2019 22:42:37 utils.py[line:93] INFO data all loaded
Fri, 17 May 2019 22:42:37 unsupervised_train.py[line:439] INFO start training
Fri, 17 May 2019 22:42:37 unsupervised_train.py[line:188] INFO edge minibatch
Fri, 17 May 2019 22:42:51 deprecation.py[line:323] WARNING From /Users/apple/Documents/P1_Decentralized_Multitask/Leaf_New_2.0/venv/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
Fri, 17 May 2019 22:42:51 unsupervised_train.py[line:198] INFO choose model
Fri, 17 May 2019 22:42:51 deprecation.py[line:506] WARNING From /Users/apple/Documents/P4_Graph/merge_sourcecode/bipartite-graph-learning/GraphSage/graphsage/aggregators.py:46: calling dropout (from tensorflow.python.ops.nn_ops) with keep_prob is deprecated and will be removed in a future version.
Instructions for updating:
Please use `rate` instead of `keep_prob`. Rate should be set to `rate = 1 - keep_prob`.
Fri, 17 May 2019 22:44:56 unsupervised_train.py[line:352] INFO Iter: 0170, train_loss=15.639734, train_mrr=0.171093, train_mrr_ema=0.176495, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.705551
Fri, 17 May 2019 22:44:56 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0170, max_total_steps: 100000000
Fri, 17 May 2019 22:45:02 unsupervised_train.py[line:352] INFO Iter: 0180, train_loss=15.723694, train_mrr=0.183881, train_mrr_ema=0.177527, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.699160
Fri, 17 May 2019 22:45:02 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0180, max_total_steps: 100000000
Fri, 17 May 2019 22:45:08 unsupervised_train.py[line:352] INFO Iter: 0190, train_loss=15.345978, train_mrr=0.171428, train_mrr_ema=0.177657, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.692896
Fri, 17 May 2019 22:45:08 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0190, max_total_steps: 100000000
Fri, 17 May 2019 22:45:14 unsupervised_train.py[line:352] INFO Iter: 0200, train_loss=15.144165, train_mrr=0.192367, train_mrr_ema=0.177656, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.687126
Fri, 17 May 2019 22:45:14 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0200, max_total_steps: 100000000
Fri, 17 May 2019 22:45:20 unsupervised_train.py[line:352] INFO Iter: 0210, train_loss=15.254152, train_mrr=0.171520, train_mrr_ema=0.177947, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.682514
Fri, 17 May 2019 22:45:20 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0210, max_total_steps: 100000000
Fri, 17 May 2019 22:45:26 unsupervised_train.py[line:352] INFO Iter: 0220, train_loss=15.367484, train_mrr=0.178902, train_mrr_ema=0.177902, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.680045
Fri, 17 May 2019 22:45:26 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0220, max_total_steps: 100000000
Fri, 17 May 2019 22:45:32 unsupervised_train.py[line:352] INFO Iter: 0230, train_loss=15.410977, train_mrr=0.190867, train_mrr_ema=0.177879, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.676466
Fri, 17 May 2019 22:45:32 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0230, max_total_steps: 100000000
Fri, 17 May 2019 22:45:38 unsupervised_train.py[line:352] INFO Iter: 0240, train_loss=15.177648, train_mrr=0.191289, train_mrr_ema=0.178520, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.673907
Fri, 17 May 2019 22:45:38 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0240, max_total_steps: 100000000
Fri, 17 May 2019 22:45:45 unsupervised_train.py[line:352] INFO Iter: 0250, train_loss=15.181589, train_mrr=0.210693, train_mrr_ema=0.178460, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.671917
Fri, 17 May 2019 22:45:45 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0250, max_total_steps: 100000000
Fri, 17 May 2019 22:45:51 unsupervised_train.py[line:352] INFO Iter: 0260, train_loss=15.160819, train_mrr=0.169537, train_mrr_ema=0.178688, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.669353
Fri, 17 May 2019 22:45:51 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0260, max_total_steps: 100000000
Fri, 17 May 2019 22:45:57 unsupervised_train.py[line:352] INFO Iter: 0270, train_loss=14.883629, train_mrr=0.176540, train_mrr_ema=0.178857, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.669749
Fri, 17 May 2019 22:45:57 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0270, max_total_steps: 100000000
Fri, 17 May 2019 22:46:04 unsupervised_train.py[line:352] INFO Iter: 0280, train_loss=15.051065, train_mrr=0.178723, train_mrr_ema=0.178510, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.667466
Fri, 17 May 2019 22:46:04 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0280, max_total_steps: 100000000
Fri, 17 May 2019 22:46:10 unsupervised_train.py[line:352] INFO Iter: 0290, train_loss=15.080524, train_mrr=0.176629, train_mrr_ema=0.178401, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.665948
Fri, 17 May 2019 22:46:10 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0290, max_total_steps: 100000000
Fri, 17 May 2019 22:46:16 unsupervised_train.py[line:352] INFO Iter: 0300, train_loss=15.079769, train_mrr=0.183260, train_mrr_ema=0.178417, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.663298
Fri, 17 May 2019 22:46:16 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0300, max_total_steps: 100000000
Fri, 17 May 2019 22:46:21 unsupervised_train.py[line:352] INFO Iter: 0310, train_loss=14.974354, train_mrr=0.168197, train_mrr_ema=0.178514, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.660504
Fri, 17 May 2019 22:46:21 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0310, max_total_steps: 100000000
Fri, 17 May 2019 22:46:28 unsupervised_train.py[line:352] INFO Iter: 0320, train_loss=14.977690, train_mrr=0.185540, train_mrr_ema=0.179231, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.659852
Fri, 17 May 2019 22:46:28 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0320, max_total_steps: 100000000
Fri, 17 May 2019 22:46:34 unsupervised_train.py[line:352] INFO Iter: 0330, train_loss=15.171581, train_mrr=0.169256, train_mrr_ema=0.179068, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.658527
Fri, 17 May 2019 22:46:34 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0330, max_total_steps: 100000000
Fri, 17 May 2019 22:46:40 unsupervised_train.py[line:352] INFO Iter: 0340, train_loss=15.088520, train_mrr=0.162589, train_mrr_ema=0.179364, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.657938
Fri, 17 May 2019 22:46:40 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0340, max_total_steps: 100000000
Fri, 17 May 2019 22:46:47 unsupervised_train.py[line:352] INFO Iter: 0350, train_loss=15.078020, train_mrr=0.158371, train_mrr_ema=0.179528, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.656880
Fri, 17 May 2019 22:46:47 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0350, max_total_steps: 100000000
Fri, 17 May 2019 22:46:53 unsupervised_train.py[line:352] INFO Iter: 0360, train_loss=15.031404, train_mrr=0.178895, train_mrr_ema=0.179785, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.655408
Fri, 17 May 2019 22:46:53 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0360, max_total_steps: 100000000
Fri, 17 May 2019 22:46:59 unsupervised_train.py[line:352] INFO Iter: 0370, train_loss=14.964998, train_mrr=0.206985, train_mrr_ema=0.179793, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.653883
Fri, 17 May 2019 22:46:59 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0370, max_total_steps: 100000000
Fri, 17 May 2019 22:47:05 unsupervised_train.py[line:352] INFO Iter: 0380, train_loss=14.957639, train_mrr=0.192508, train_mrr_ema=0.179057, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.652014
Fri, 17 May 2019 22:47:05 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0380, max_total_steps: 100000000
Fri, 17 May 2019 22:47:10 unsupervised_train.py[line:352] INFO Iter: 0390, train_loss=15.015706, train_mrr=0.163904, train_mrr_ema=0.178908, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.650040
Fri, 17 May 2019 22:47:10 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0390, max_total_steps: 100000000
Fri, 17 May 2019 22:47:16 unsupervised_train.py[line:352] INFO Iter: 0400, train_loss=15.063209, train_mrr=0.178757, train_mrr_ema=0.179114, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.648303
Fri, 17 May 2019 22:47:16 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0400, max_total_steps: 100000000
Fri, 17 May 2019 22:47:22 unsupervised_train.py[line:352] INFO Iter: 0410, train_loss=15.002809, train_mrr=0.177145, train_mrr_ema=0.178742, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.646517
Fri, 17 May 2019 22:47:22 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0410, max_total_steps: 100000000
Fri, 17 May 2019 22:47:28 unsupervised_train.py[line:352] INFO Iter: 0420, train_loss=14.984549, train_mrr=0.183402, train_mrr_ema=0.178331, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.644853
Fri, 17 May 2019 22:47:28 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0420, max_total_steps: 100000000
Fri, 17 May 2019 22:47:34 unsupervised_train.py[line:352] INFO Iter: 0430, train_loss=15.037328, train_mrr=0.179462, train_mrr_ema=0.178051, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.643683
Fri, 17 May 2019 22:47:34 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0430, max_total_steps: 100000000
Fri, 17 May 2019 22:47:39 unsupervised_train.py[line:352] INFO Iter: 0440, train_loss=14.902901, train_mrr=0.182783, train_mrr_ema=0.177707, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.642350
Fri, 17 May 2019 22:47:39 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0440, max_total_steps: 100000000
Fri, 17 May 2019 22:47:45 unsupervised_train.py[line:352] INFO Iter: 0450, train_loss=14.995316, train_mrr=0.175622, train_mrr_ema=0.177683, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.640835
Fri, 17 May 2019 22:47:45 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0450, max_total_steps: 100000000
Fri, 17 May 2019 22:47:51 unsupervised_train.py[line:352] INFO Iter: 0460, train_loss=15.085333, train_mrr=0.169084, train_mrr_ema=0.177546, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.639574
Fri, 17 May 2019 22:47:51 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0460, max_total_steps: 100000000
Fri, 17 May 2019 22:48:00 unsupervised_train.py[line:352] INFO Iter: 0470, train_loss=14.974975, train_mrr=0.170325, train_mrr_ema=0.177551, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.645776
Fri, 17 May 2019 22:48:00 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0470, max_total_steps: 100000000
Fri, 17 May 2019 22:48:08 unsupervised_train.py[line:352] INFO Iter: 0480, train_loss=14.948242, train_mrr=0.178797, train_mrr_ema=0.177508, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.647299
Fri, 17 May 2019 22:48:08 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0480, max_total_steps: 100000000
Fri, 17 May 2019 22:48:14 unsupervised_train.py[line:352] INFO Iter: 0490, train_loss=15.043535, train_mrr=0.174949, train_mrr_ema=0.177218, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.646411
Fri, 17 May 2019 22:48:14 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0490, max_total_steps: 100000000
Fri, 17 May 2019 22:48:21 unsupervised_train.py[line:352] INFO Iter: 0500, train_loss=14.974291, train_mrr=0.172968, train_mrr_ema=0.177174, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.647720
Fri, 17 May 2019 22:48:21 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0500, max_total_steps: 100000000
Fri, 17 May 2019 22:48:28 unsupervised_train.py[line:352] INFO Iter: 0510, train_loss=14.975430, train_mrr=0.173092, train_mrr_ema=0.176687, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.649397
Fri, 17 May 2019 22:48:28 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0510, max_total_steps: 100000000
Fri, 17 May 2019 22:48:36 unsupervised_train.py[line:352] INFO Iter: 0520, train_loss=14.982101, train_mrr=0.166749, train_mrr_ema=0.176914, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.651582
Fri, 17 May 2019 22:48:36 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0520, max_total_steps: 100000000
Fri, 17 May 2019 22:48:43 unsupervised_train.py[line:352] INFO Iter: 0530, train_loss=14.969939, train_mrr=0.184959, train_mrr_ema=0.177501, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.652002
Fri, 17 May 2019 22:48:43 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0530, max_total_steps: 100000000
Fri, 17 May 2019 22:48:49 unsupervised_train.py[line:352] INFO Iter: 0540, train_loss=14.940998, train_mrr=0.197356, train_mrr_ema=0.177603, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.652582
Fri, 17 May 2019 22:48:49 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0540, max_total_steps: 100000000
Fri, 17 May 2019 22:48:56 unsupervised_train.py[line:352] INFO Iter: 0550, train_loss=14.950085, train_mrr=0.181186, train_mrr_ema=0.178440, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.652608
Fri, 17 May 2019 22:48:56 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0550, max_total_steps: 100000000
Fri, 17 May 2019 22:49:02 unsupervised_train.py[line:352] INFO Iter: 0560, train_loss=15.002003, train_mrr=0.187277, train_mrr_ema=0.178702, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.652630
Fri, 17 May 2019 22:49:02 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0560, max_total_steps: 100000000
Fri, 17 May 2019 22:49:09 unsupervised_train.py[line:352] INFO Iter: 0570, train_loss=14.987687, train_mrr=0.162254, train_mrr_ema=0.178268, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.652542
Fri, 17 May 2019 22:49:09 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0570, max_total_steps: 100000000
Fri, 17 May 2019 22:49:15 unsupervised_train.py[line:352] INFO Iter: 0580, train_loss=14.947422, train_mrr=0.173178, train_mrr_ema=0.178405, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.652498
Fri, 17 May 2019 22:49:15 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0580, max_total_steps: 100000000
Fri, 17 May 2019 22:49:22 unsupervised_train.py[line:352] INFO Iter: 0590, train_loss=14.941964, train_mrr=0.187724, train_mrr_ema=0.178445, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.652224
Fri, 17 May 2019 22:49:22 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0590, max_total_steps: 100000000
Fri, 17 May 2019 22:49:28 unsupervised_train.py[line:352] INFO Iter: 0600, train_loss=14.914697, train_mrr=0.190525, train_mrr_ema=0.178804, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.652011
Fri, 17 May 2019 22:49:28 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0600, max_total_steps: 100000000
Fri, 17 May 2019 22:49:35 unsupervised_train.py[line:352] INFO Iter: 0610, train_loss=14.955683, train_mrr=0.173855, train_mrr_ema=0.178768, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.651924
Fri, 17 May 2019 22:49:35 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0610, max_total_steps: 100000000
Fri, 17 May 2019 22:49:41 unsupervised_train.py[line:352] INFO Iter: 0620, train_loss=14.967167, train_mrr=0.185943, train_mrr_ema=0.178242, val_loss=17.969807, val_mrr=0.172086, val_mrr_ema=0.172086, time=0.651607
Fri, 17 May 2019 22:49:41 unsupervised_train.py[line:354] INFO Epochs: 0000, Max epochs: 0001, total_steps: 0620, max_total_steps: 100000000
